description,industry,level,size,line_code,value
Business investments to reduce emissions/adapt to impacts: Other,total,0,6–19 employees,C2106,759
Business investments to reduce emissions/adapt to impacts: Other,total,0,20–49 employees,C2106,102
Business investments to reduce emissions/adapt to impacts: Other,total,0,50–99 employees,C2106,57
Business investments to reduce emissions/adapt to impacts: Other,total,0,100+ employees,C2106,72
Business investments to reduce emissions/adapt to impacts: Other,"Agriculture, forestry, & fishing",1,total,C2106,189
Business investments to reduce emissions/adapt to impacts: Other,Agriculture,2,total,C2106,174
Business investments to reduce emissions/adapt to impacts: Other,Commercial fishing,2,total,C2106,3
Business investments to reduce emissions/adapt to impacts: Other,Forestry & logging,2,total,C2106,0
Business investments to reduce emissions/adapt to impacts: Other,"Agriculture, forestry, & fishing support services",2,total,C2106,9
Business investments to reduce emissions/adapt to impacts: Other,Mining,1,total,C2106,6
Business investments to reduce emissions/adapt to impacts: Other,Manufacturing,1,total,C2106,156
Business investments to reduce emissions/adapt to impacts: Other,"Food, beverage, & tobacco",2,total,C2106,15
Business investments to reduce emissions/adapt to impacts: Other,"Textile, clothing, footwear, & leather",2,total,C2106,0
Business investments to reduce emissions/adapt to impacts: Other,Wood & paper product,2,total,C2106,57
Business investments to reduce emissions/adapt to impacts: Other,"Printing, publishing, & recorded media",2,total,C2106,0
Business investments to reduce emissions/adapt to impacts: Other,"Petroleum, coal, chemical, & associated product",2,total,C2106,3
Business investments to reduce emissions/adapt to impacts: Other,Non-metallic mineral product,2,total,C2106,6
Business investments to reduce emissions/adapt to impacts: Other,Metal product,2,total,C2106,18
Business investments to reduce emissions/adapt to impacts: Other,Transport and industrial machinery & equipment,2,total,C2106,30
Business investments to reduce emissions/adapt to impacts: Other,Other machinery & equipment,2,total,C2106,6
Business investments to reduce emissions/adapt to impacts: Other,Other manufacturing,2,total,C2106,18
Business investments to reduce emissions/adapt to impacts: Other,"Electricity, gas, water, & waste services",1,total,C2106,9
Business investments to reduce emissions/adapt to impacts: Other,Construction,1,total,C2106,108
Business investments to reduce emissions/adapt to impacts: Other,Wholesale trade,1,total,C2106,72
Business investments to reduce emissions/adapt to impacts: Other,Machinery & equipment wholesaling,2,total,C2106,18
Business investments to reduce emissions/adapt to impacts: Other,Other wholesale trade,2,total,C2106,51
Business investments to reduce emissions/adapt to impacts: Other,Retail trade,1,total,C2106,144
Business investments to reduce emissions/adapt to impacts: Other,Accommodation & food services,1,total,C2106,6
Business investments to reduce emissions/adapt to impacts: Other,"Transport, postal, & warehousing",1,total,C2106,33
Business investments to reduce emissions/adapt to impacts: Other,Information media & telecommunications,1,total,C2106,15
Business investments to reduce emissions/adapt to impacts: Other,Publishing,2,total,C2106,9
Business investments to reduce emissions/adapt to impacts: Other,Motion picture,2,total,C2106,3
Business investments to reduce emissions/adapt to impacts: Other,Telecommunications,2,total,C2106,3
Business investments to reduce emissions/adapt to impacts: Other,Financial & insurance services,1,total,C2106,18
Business investments to reduce emissions/adapt to impacts: Other,Finance,2,total,C2106,6
Business investments to reduce emissions/adapt to impacts: Other,Insurance,2,total,C2106,0
Business investments to reduce emissions/adapt to impacts: Other,Auxiliary,2,total,C2106,12
Business investments to reduce emissions/adapt to impacts: Other,"Rental, hiring, & real estate services",1,total,C2106,15
Business investments to reduce emissions/adapt to impacts: Other,"Professional, scientific, & technical services",1,total,C2106,120
Business investments to reduce emissions/adapt to impacts: Other,Computer systems design,2,total,C2106,39
Business investments to reduce emissions/adapt to impacts: Other,Other professional scientific,2,total,C2106,84
Business investments to reduce emissions/adapt to impacts: Other,Administrative & support services,1,total,C2106,21
Business investments to reduce emissions/adapt to impacts: Other,Education & training,1,total,C2106,18
Business investments to reduce emissions/adapt to impacts: Other,Health care & social assistance,1,total,C2106,18
Business investments to reduce emissions/adapt to impacts: Other,Arts & recreation services,1,total,C2106,0
Business investments to reduce emissions/adapt to impacts: Other,Other services,1,total,C2106,39
Business investments to reduce emissions/adapt to impacts: Other,total,0,total,C2106,993
Business investments to reduce emissions/adapt to impacts: Did not make any investments,total,0,6–19 employees,C2108,19542
Business investments to reduce emissions/adapt to impacts: Did not make any investments,total,0,20–49 employees,C2108,3996
Business investments to reduce emissions/adapt to impacts: Did not make any investments,total,0,50–99 employees,C2108,1026
Business investments to reduce emissions/adapt to impacts: Did not make any investments,total,0,100+ employees,C2108,609
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Agriculture, forestry, & fishing",1,total,C2108,1749
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Agriculture,2,total,C2108,1005
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Commercial fishing,2,total,C2108,33
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Forestry & logging,2,total,C2108,108
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Agriculture, forestry, & fishing support services",2,total,C2108,609
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Mining,1,total,C2108,51
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Manufacturing,1,total,C2108,2880
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Food, beverage, & tobacco",2,total,C2108,561
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Textile, clothing, footwear, & leather",2,total,C2108,150
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Wood & paper product,2,total,C2108,240
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Printing, publishing, & recorded media",2,total,C2108,120
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Petroleum, coal, chemical, & associated product",2,total,C2108,192
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Non-metallic mineral product,2,total,C2108,111
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Metal product,2,total,C2108,558
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Transport and industrial machinery & equipment,2,total,C2108,618
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Other machinery & equipment,2,total,C2108,147
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Other manufacturing,2,total,C2108,186
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Electricity, gas, water, & waste services",1,total,C2108,81
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Construction,1,total,C2108,3696
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Wholesale trade,1,total,C2108,1641
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Machinery & equipment wholesaling,2,total,C2108,552
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Other wholesale trade,2,total,C2108,1086
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Retail trade,1,total,C2108,2871
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Accommodation & food services,1,total,C2108,3303
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Transport, postal, & warehousing",1,total,C2108,756
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Information media & telecommunications,1,total,C2108,237
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Publishing,2,total,C2108,96
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Motion picture,2,total,C2108,78
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Telecommunications,2,total,C2108,63
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Financial & insurance services,1,total,C2108,324
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Finance,2,total,C2108,99
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Insurance,2,total,C2108,18
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Auxiliary,2,total,C2108,210
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Rental, hiring, & real estate services",1,total,C2108,531
Business investments to reduce emissions/adapt to impacts: Did not make any investments,"Professional, scientific, & technical services",1,total,C2108,2997
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Computer systems design,2,total,C2108,546
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Other professional scientific,2,total,C2108,2451
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Administrative & support services,1,total,C2108,999
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Education & training,1,total,C2108,621
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Health care & social assistance,1,total,C2108,1293
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Arts & recreation services,1,total,C2108,309
Business investments to reduce emissions/adapt to impacts: Did not make any investments,Other services,1,total,C2108,828
Business investments to reduce emissions/adapt to impacts: Did not make any investments,total,0,total,C2108,25173
Business investments to reduce emissions/adapt to impacts: Don't know,total,0,6–19 employees,C2109,4314
Business investments to reduce emissions/adapt to impacts: Don't know,total,0,20–49 employees,C2109,939
Business investments to reduce emissions/adapt to impacts: Don't know,total,0,50–99 employees,C2109,195
Business investments to reduce emissions/adapt to impacts: Don't know,total,0,100+ employees,C2109,159
Business investments to reduce emissions/adapt to impacts: Don't know,"Agriculture, forestry, & fishing",1,total,C2109,579
Business investments to reduce emissions/adapt to impacts: Don't know,Agriculture,2,total,C2109,390
Business investments to reduce emissions/adapt to impacts: Don't know,Commercial fishing,2,total,C2109,3
Business investments to reduce emissions/adapt to impacts: Don't know,Forestry & logging,2,total,C2109,33
Business investments to reduce emissions/adapt to impacts: Don't know,"Agriculture, forestry, & fishing support services",2,total,C2109,153
Business investments to reduce emissions/adapt to impacts: Don't know,Mining,1,total,C2109,12
Business investments to reduce emissions/adapt to impacts: Don't know,Manufacturing,1,total,C2109,585
Business investments to reduce emissions/adapt to impacts: Don't know,"Food, beverage, & tobacco",2,total,C2109,141
Business investments to reduce emissions/adapt to impacts: Don't know,"Textile, clothing, footwear, & leather",2,total,C2109,27
Business investments to reduce emissions/adapt to impacts: Don't know,Wood & paper product,2,total,C2109,60
Business investments to reduce emissions/adapt to impacts: Don't know,"Printing, publishing, & recorded media",2,total,C2109,39
Business investments to reduce emissions/adapt to impacts: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C2109,24
Business investments to reduce emissions/adapt to impacts: Don't know,Non-metallic mineral product,2,total,C2109,15
Business investments to reduce emissions/adapt to impacts: Don't know,Metal product,2,total,C2109,144
Business investments to reduce emissions/adapt to impacts: Don't know,Transport and industrial machinery & equipment,2,total,C2109,63
Business investments to reduce emissions/adapt to impacts: Don't know,Other machinery & equipment,2,total,C2109,24
Business investments to reduce emissions/adapt to impacts: Don't know,Other manufacturing,2,total,C2109,48
Business investments to reduce emissions/adapt to impacts: Don't know,"Electricity, gas, water, & waste services",1,total,C2109,18
Business investments to reduce emissions/adapt to impacts: Don't know,Construction,1,total,C2109,825
Business investments to reduce emissions/adapt to impacts: Don't know,Wholesale trade,1,total,C2109,282
Business investments to reduce emissions/adapt to impacts: Don't know,Machinery & equipment wholesaling,2,total,C2109,78
Business investments to reduce emissions/adapt to impacts: Don't know,Other wholesale trade,2,total,C2109,204
Business investments to reduce emissions/adapt to impacts: Don't know,Retail trade,1,total,C2109,390
Business investments to reduce emissions/adapt to impacts: Don't know,Accommodation & food services,1,total,C2109,1221
Business investments to reduce emissions/adapt to impacts: Don't know,"Transport, postal, & warehousing",1,total,C2109,246
Business investments to reduce emissions/adapt to impacts: Don't know,Information media & telecommunications,1,total,C2109,36
Business investments to reduce emissions/adapt to impacts: Don't know,Publishing,2,total,C2109,15
Business investments to reduce emissions/adapt to impacts: Don't know,Motion picture,2,total,C2109,6
Business investments to reduce emissions/adapt to impacts: Don't know,Telecommunications,2,total,C2109,12
Business investments to reduce emissions/adapt to impacts: Don't know,Financial & insurance services,1,total,C2109,63
Business investments to reduce emissions/adapt to impacts: Don't know,Finance,2,total,C2109,18
Business investments to reduce emissions/adapt to impacts: Don't know,Insurance,2,total,C2109,3
Business investments to reduce emissions/adapt to impacts: Don't know,Auxiliary,2,total,C2109,45
Business investments to reduce emissions/adapt to impacts: Don't know,"Rental, hiring, & real estate services",1,total,C2109,120
Business investments to reduce emissions/adapt to impacts: Don't know,"Professional, scientific, & technical services",1,total,C2109,384
Business investments to reduce emissions/adapt to impacts: Don't know,Computer systems design,2,total,C2109,69
Business investments to reduce emissions/adapt to impacts: Don't know,Other professional scientific,2,total,C2109,318
Business investments to reduce emissions/adapt to impacts: Don't know,Administrative & support services,1,total,C2109,186
Business investments to reduce emissions/adapt to impacts: Don't know,Education & training,1,total,C2109,87
Business investments to reduce emissions/adapt to impacts: Don't know,Health care & social assistance,1,total,C2109,351
Business investments to reduce emissions/adapt to impacts: Don't know,Arts & recreation services,1,total,C2109,36
Business investments to reduce emissions/adapt to impacts: Don't know,Other services,1,total,C2109,177
Business investments to reduce emissions/adapt to impacts: Don't know,total,0,total,C2109,5610
Did business undertake or fund research and development in low emission products: Yes,total,0,6–19 employees,C2201.01,1689
Did business undertake or fund research and development in low emission products: Yes,total,0,20–49 employees,C2201.01,420
Did business undertake or fund research and development in low emission products: Yes,total,0,50–99 employees,C2201.01,153
Did business undertake or fund research and development in low emission products: Yes,total,0,100+ employees,C2201.01,231
Did business undertake or fund research and development in low emission products: Yes,"Agriculture, forestry, & fishing",1,total,C2201.01,150
Did business undertake or fund research and development in low emission products: Yes,Agriculture,2,total,C2201.01,123
Did business undertake or fund research and development in low emission products: Yes,Commercial fishing,2,total,C2201.01,0
Did business undertake or fund research and development in low emission products: Yes,Forestry & logging,2,total,C2201.01,12
Did business undertake or fund research and development in low emission products: Yes,"Agriculture, forestry, & fishing support services",2,total,C2201.01,15
Did business undertake or fund research and development in low emission products: Yes,Mining,1,total,C2201.01,12
Did business undertake or fund research and development in low emission products: Yes,Manufacturing,1,total,C2201.01,315
Did business undertake or fund research and development in low emission products: Yes,"Food, beverage, & tobacco",2,total,C2201.01,60
Did business undertake or fund research and development in low emission products: Yes,"Textile, clothing, footwear, & leather",2,total,C2201.01,15
Did business undertake or fund research and development in low emission products: Yes,Wood & paper product,2,total,C2201.01,30
Did business undertake or fund research and development in low emission products: Yes,"Printing, publishing, & recorded media",2,total,C2201.01,18
Did business undertake or fund research and development in low emission products: Yes,"Petroleum, coal, chemical, & associated product",2,total,C2201.01,30
Did business undertake or fund research and development in low emission products: Yes,Non-metallic mineral product,2,total,C2201.01,24
Did business undertake or fund research and development in low emission products: Yes,Metal product,2,total,C2201.01,36
Did business undertake or fund research and development in low emission products: Yes,Transport and industrial machinery & equipment,2,total,C2201.01,42
Did business undertake or fund research and development in low emission products: Yes,Other machinery & equipment,2,total,C2201.01,27
Did business undertake or fund research and development in low emission products: Yes,Other manufacturing,2,total,C2201.01,30
Did business undertake or fund research and development in low emission products: Yes,"Electricity, gas, water, & waste services",1,total,C2201.01,21
Did business undertake or fund research and development in low emission products: Yes,Construction,1,total,C2201.01,309
Did business undertake or fund research and development in low emission products: Yes,Wholesale trade,1,total,C2201.01,252
Did business undertake or fund research and development in low emission products: Yes,Machinery & equipment wholesaling,2,total,C2201.01,36
Did business undertake or fund research and development in low emission products: Yes,Other wholesale trade,2,total,C2201.01,213
Did business undertake or fund research and development in low emission products: Yes,Retail trade,1,total,C2201.01,318
Did business undertake or fund research and development in low emission products: Yes,Accommodation & food services,1,total,C2201.01,366
Did business undertake or fund research and development in low emission products: Yes,"Transport, postal, & warehousing",1,total,C2201.01,126
Did business undertake or fund research and development in low emission products: Yes,Information media & telecommunications,1,total,C2201.01,21
Did business undertake or fund research and development in low emission products: Yes,Publishing,2,total,C2201.01,12
Did business undertake or fund research and development in low emission products: Yes,Motion picture,2,total,C2201.01,3
Did business undertake or fund research and development in low emission products: Yes,Telecommunications,2,total,C2201.01,3
Did business undertake or fund research and development in low emission products: Yes,Financial & insurance services,1,total,C2201.01,18
Did business undertake or fund research and development in low emission products: Yes,Finance,2,total,C2201.01,6
Did business undertake or fund research and development in low emission products: Yes,Insurance,2,total,C2201.01,3
Did business undertake or fund research and development in low emission products: Yes,Auxiliary,2,total,C2201.01,12
Did business undertake or fund research and development in low emission products: Yes,"Rental, hiring, & real estate services",1,total,C2201.01,39
Did business undertake or fund research and development in low emission products: Yes,"Professional, scientific, & technical services",1,total,C2201.01,237
Did business undertake or fund research and development in low emission products: Yes,Computer systems design,2,total,C2201.01,9
Did business undertake or fund research and development in low emission products: Yes,Other professional scientific,2,total,C2201.01,231
Did business undertake or fund research and development in low emission products: Yes,Administrative & support services,1,total,C2201.01,60
Did business undertake or fund research and development in low emission products: Yes,Education & training,1,total,C2201.01,21
Did business undertake or fund research and development in low emission products: Yes,Health care & social assistance,1,total,C2201.01,87
Did business undertake or fund research and development in low emission products: Yes,Arts & recreation services,1,total,C2201.01,57
Did business undertake or fund research and development in low emission products: Yes,Other services,1,total,C2201.01,75
Did business undertake or fund research and development in low emission products: Yes,total,0,total,C2201.01,2493
Did business undertake or fund research and development in low emission products: No,total,0,6–19 employees,C2201.02,22281
Did business undertake or fund research and development in low emission products: No,total,0,20–49 employees,C2201.02,5253
Did business undertake or fund research and development in low emission products: No,total,0,50–99 employees,C2201.02,1662
Did business undertake or fund research and development in low emission products: No,total,0,100+ employees,C2201.02,1200
Did business undertake or fund research and development in low emission products: No,"Agriculture, forestry, & fishing",1,total,C2201.02,2577
Did business undertake or fund research and development in low emission products: No,Agriculture,2,total,C2201.02,1758
Did business undertake or fund research and development in low emission products: No,Commercial fishing,2,total,C2201.02,39
Did business undertake or fund research and development in low emission products: No,Forestry & logging,2,total,C2201.02,225
Did business undertake or fund research and development in low emission products: No,"Agriculture, forestry, & fishing support services",2,total,C2201.02,555
Did business undertake or fund research and development in low emission products: No,Mining,1,total,C2201.02,78
Did business undertake or fund research and development in low emission products: No,Manufacturing,1,total,C2201.02,3840
Did business undertake or fund research and development in low emission products: No,"Food, beverage, & tobacco",2,total,C2201.02,819
Did business undertake or fund research and development in low emission products: No,"Textile, clothing, footwear, & leather",2,total,C2201.02,189
Did business undertake or fund research and development in low emission products: No,Wood & paper product,2,total,C2201.02,375
Did business undertake or fund research and development in low emission products: No,"Printing, publishing, & recorded media",2,total,C2201.02,150
Did business undertake or fund research and development in low emission products: No,"Petroleum, coal, chemical, & associated product",2,total,C2201.02,309
Did business undertake or fund research and development in low emission products: No,Non-metallic mineral product,2,total,C2201.02,138
Did business undertake or fund research and development in low emission products: No,Metal product,2,total,C2201.02,729
Did business undertake or fund research and development in low emission products: No,Transport and industrial machinery & equipment,2,total,C2201.02,705
Did business undertake or fund research and development in low emission products: No,Other machinery & equipment,2,total,C2201.02,165
Did business undertake or fund research and development in low emission products: No,Other manufacturing,2,total,C2201.02,261
Did business undertake or fund research and development in low emission products: No,"Electricity, gas, water, & waste services",1,total,C2201.02,126
Did business undertake or fund research and development in low emission products: No,Construction,1,total,C2201.02,4575
Did business undertake or fund research and development in low emission products: No,Wholesale trade,1,total,C2201.02,2121
Did business undertake or fund research and development in low emission products: No,Machinery & equipment wholesaling,2,total,C2201.02,657
Did business undertake or fund research and development in low emission products: No,Other wholesale trade,2,total,C2201.02,1461
Did business undertake or fund research and development in low emission products: No,Retail trade,1,total,C2201.02,3183
Did business undertake or fund research and development in low emission products: No,Accommodation & food services,1,total,C2201.02,3333
Did business undertake or fund research and development in low emission products: No,"Transport, postal, & warehousing",1,total,C2201.02,1089
Did business undertake or fund research and development in low emission products: No,Information media & telecommunications,1,total,C2201.02,282
Did business undertake or fund research and development in low emission products: No,Publishing,2,total,C2201.02,108
Did business undertake or fund research and development in low emission products: No,Motion picture,2,total,C2201.02,90
Did business undertake or fund research and development in low emission products: No,Telecommunications,2,total,C2201.02,84
Did business undertake or fund research and development in low emission products: No,Financial & insurance services,1,total,C2201.02,393
Did business undertake or fund research and development in low emission products: No,Finance,2,total,C2201.02,126
Did business undertake or fund research and development in low emission products: No,Insurance,2,total,C2201.02,18
Did business undertake or fund research and development in low emission products: No,Auxiliary,2,total,C2201.02,249
Did business undertake or fund research and development in low emission products: No,"Rental, hiring, & real estate services",1,total,C2201.02,642
Did business undertake or fund research and development in low emission products: No,"Professional, scientific, & technical services",1,total,C2201.02,3357
Did business undertake or fund research and development in low emission products: No,Computer systems design,2,total,C2201.02,669
Did business undertake or fund research and development in low emission products: No,Other professional scientific,2,total,C2201.02,2691
Did business undertake or fund research and development in low emission products: No,Administrative & support services,1,total,C2201.02,1080
Did business undertake or fund research and development in low emission products: No,Education & training,1,total,C2201.02,705
Did business undertake or fund research and development in low emission products: No,Health care & social assistance,1,total,C2201.02,1737
Did business undertake or fund research and development in low emission products: No,Arts & recreation services,1,total,C2201.02,324
Did business undertake or fund research and development in low emission products: No,Other services,1,total,C2201.02,942
Did business undertake or fund research and development in low emission products: No,total,0,total,C2201.02,30396
Did business undertake or fund research and development in low emission products: Don't know,total,0,6–19 employees,C2201.03,3174
Did business undertake or fund research and development in low emission products: Don't know,total,0,20–49 employees,C2201.03,597
Did business undertake or fund research and development in low emission products: Don't know,total,0,50–99 employees,C2201.03,192
Did business undertake or fund research and development in low emission products: Don't know,total,0,100+ employees,C2201.03,189
Did business undertake or fund research and development in low emission products: Don't know,"Agriculture, forestry, & fishing",1,total,C2201.03,300
Did business undertake or fund research and development in low emission products: Don't know,Agriculture,2,total,C2201.03,171
Did business undertake or fund research and development in low emission products: Don't know,Commercial fishing,2,total,C2201.03,6
Did business undertake or fund research and development in low emission products: Don't know,Forestry & logging,2,total,C2201.03,15
Did business undertake or fund research and development in low emission products: Don't know,"Agriculture, forestry, & fishing support services",2,total,C2201.03,108
Did business undertake or fund research and development in low emission products: Don't know,Mining,1,total,C2201.03,12
Did business undertake or fund research and development in low emission products: Don't know,Manufacturing,1,total,C2201.03,498
Did business undertake or fund research and development in low emission products: Don't know,"Food, beverage, & tobacco",2,total,C2201.03,174
Did business undertake or fund research and development in low emission products: Don't know,"Textile, clothing, footwear, & leather",2,total,C2201.03,18
Did business undertake or fund research and development in low emission products: Don't know,Wood & paper product,2,total,C2201.03,48
Did business undertake or fund research and development in low emission products: Don't know,"Printing, publishing, & recorded media",2,total,C2201.03,21
Did business undertake or fund research and development in low emission products: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C2201.03,36
Did business undertake or fund research and development in low emission products: Don't know,Non-metallic mineral product,2,total,C2201.03,15
Did business undertake or fund research and development in low emission products: Don't know,Metal product,2,total,C2201.03,78
Did business undertake or fund research and development in low emission products: Don't know,Transport and industrial machinery & equipment,2,total,C2201.03,66
Did business undertake or fund research and development in low emission products: Don't know,Other machinery & equipment,2,total,C2201.03,27
Did business undertake or fund research and development in low emission products: Don't know,Other manufacturing,2,total,C2201.03,15
Did business undertake or fund research and development in low emission products: Don't know,"Electricity, gas, water, & waste services",1,total,C2201.03,24
Did business undertake or fund research and development in low emission products: Don't know,Construction,1,total,C2201.03,423
Did business undertake or fund research and development in low emission products: Don't know,Wholesale trade,1,total,C2201.03,312
Did business undertake or fund research and development in low emission products: Don't know,Machinery & equipment wholesaling,2,total,C2201.03,45
Did business undertake or fund research and development in low emission products: Don't know,Other wholesale trade,2,total,C2201.03,264
Did business undertake or fund research and development in low emission products: Don't know,Retail trade,1,total,C2201.03,402
Did business undertake or fund research and development in low emission products: Don't know,Accommodation & food services,1,total,C2201.03,1173
Did business undertake or fund research and development in low emission products: Don't know,"Transport, postal, & warehousing",1,total,C2201.03,270
Did business undertake or fund research and development in low emission products: Don't know,Information media & telecommunications,1,total,C2201.03,18
Did business undertake or fund research and development in low emission products: Don't know,Publishing,2,total,C2201.03,6
Did business undertake or fund research and development in low emission products: Don't know,Motion picture,2,total,C2201.03,6
Did business undertake or fund research and development in low emission products: Don't know,Telecommunications,2,total,C2201.03,6
Did business undertake or fund research and development in low emission products: Don't know,Financial & insurance services,1,total,C2201.03,27
Did business undertake or fund research and development in low emission products: Don't know,Finance,2,total,C2201.03,6
Did business undertake or fund research and development in low emission products: Don't know,Insurance,2,total,C2201.03,6
Did business undertake or fund research and development in low emission products: Don't know,Auxiliary,2,total,C2201.03,18
Did business undertake or fund research and development in low emission products: Don't know,"Rental, hiring, & real estate services",1,total,C2201.03,63
Did business undertake or fund research and development in low emission products: Don't know,"Professional, scientific, & technical services",1,total,C2201.03,168
Did business undertake or fund research and development in low emission products: Don't know,Computer systems design,2,total,C2201.03,72
Did business undertake or fund research and development in low emission products: Don't know,Other professional scientific,2,total,C2201.03,99
Did business undertake or fund research and development in low emission products: Don't know,Administrative & support services,1,total,C2201.03,81
Did business undertake or fund research and development in low emission products: Don't know,Education & training,1,total,C2201.03,48
Did business undertake or fund research and development in low emission products: Don't know,Health care & social assistance,1,total,C2201.03,189
Did business undertake or fund research and development in low emission products: Don't know,Arts & recreation services,1,total,C2201.03,42
Did business undertake or fund research and development in low emission products: Don't know,Other services,1,total,C2201.03,102
Did business undertake or fund research and development in low emission products: Don't know,total,0,total,C2201.03,4155
Did business undertake or fund research and development in low emission products: Not applicable,total,0,6–19 employees,C2201.04,7869
Did business undertake or fund research and development in low emission products: Not applicable,total,0,20–49 employees,C2201.04,1830
Did business undertake or fund research and development in low emission products: Not applicable,total,0,50–99 employees,C2201.04,384
Did business undertake or fund research and development in low emission products: Not applicable,total,0,100+ employees,C2201.04,297
Did business undertake or fund research and development in low emission products: Not applicable,"Agriculture, forestry, & fishing",1,total,C2201.04,849
Did business undertake or fund research and development in low emission products: Not applicable,Agriculture,2,total,C2201.04,498
Did business undertake or fund research and development in low emission products: Not applicable,Commercial fishing,2,total,C2201.04,6
Did business undertake or fund research and development in low emission products: Not applicable,Forestry & logging,2,total,C2201.04,18
Did business undertake or fund research and development in low emission products: Not applicable,"Agriculture, forestry, & fishing support services",2,total,C2201.04,330
Did business undertake or fund research and development in low emission products: Not applicable,Mining,1,total,C2201.04,12
Did business undertake or fund research and development in low emission products: Not applicable,Manufacturing,1,total,C2201.04,771
Did business undertake or fund research and development in low emission products: Not applicable,"Food, beverage, & tobacco",2,total,C2201.04,159
Did business undertake or fund research and development in low emission products: Not applicable,"Textile, clothing, footwear, & leather",2,total,C2201.04,36
Did business undertake or fund research and development in low emission products: Not applicable,Wood & paper product,2,total,C2201.04,81
Did business undertake or fund research and development in low emission products: Not applicable,"Printing, publishing, & recorded media",2,total,C2201.04,39
Did business undertake or fund research and development in low emission products: Not applicable,"Petroleum, coal, chemical, & associated product",2,total,C2201.04,75
Did business undertake or fund research and development in low emission products: Not applicable,Non-metallic mineral product,2,total,C2201.04,45
Did business undertake or fund research and development in low emission products: Not applicable,Metal product,2,total,C2201.04,141
Did business undertake or fund research and development in low emission products: Not applicable,Transport and industrial machinery & equipment,2,total,C2201.04,96
Did business undertake or fund research and development in low emission products: Not applicable,Other machinery & equipment,2,total,C2201.04,30
Did business undertake or fund research and development in low emission products: Not applicable,Other manufacturing,2,total,C2201.04,69
Did business undertake or fund research and development in low emission products: Not applicable,"Electricity, gas, water, & waste services",1,total,C2201.04,27
Did business undertake or fund research and development in low emission products: Not applicable,Construction,1,total,C2201.04,1380
Did business undertake or fund research and development in low emission products: Not applicable,Wholesale trade,1,total,C2201.04,537
Did business undertake or fund research and development in low emission products: Not applicable,Machinery & equipment wholesaling,2,total,C2201.04,228
Did business undertake or fund research and development in low emission products: Not applicable,Other wholesale trade,2,total,C2201.04,306
Did business undertake or fund research and development in low emission products: Not applicable,Retail trade,1,total,C2201.04,1017
Did business undertake or fund research and development in low emission products: Not applicable,Accommodation & food services,1,total,C2201.04,1836
Did business undertake or fund research and development in low emission products: Not applicable,"Transport, postal, & warehousing",1,total,C2201.04,186
Did business undertake or fund research and development in low emission products: Not applicable,Information media & telecommunications,1,total,C2201.04,108
Did business undertake or fund research and development in low emission products: Not applicable,Publishing,2,total,C2201.04,30
Did business undertake or fund research and development in low emission products: Not applicable,Motion picture,2,total,C2201.04,36
Did business undertake or fund research and development in low emission products: Not applicable,Telecommunications,2,total,C2201.04,36
Did business undertake or fund research and development in low emission products: Not applicable,Financial & insurance services,1,total,C2201.04,195
Did business undertake or fund research and development in low emission products: Not applicable,Finance,2,total,C2201.04,66
